"","CandidateId","Survey.Label","survey_date_month","Booking.Date","working","english_mark","maths_mark","maths_lit_mark","CFT_answer_ODS","COM_answer_ODS"
"1",21526,"Employment Journey Survey 1",2015.91666666667,NA,"No",55,NA,54,"4",NA
"2",21526,"Employment Journey Survey 4",2016.91666666667,"2015-09-25","Yes",55,NA,54,"4",NA
"3",22816,"Employment Journey Survey 1",2016.08333333333,NA,"No",39,NA,33,"4",NA
"4",31110,"Employment Journey Survey 1",2015.83333333333,NA,"No",50,NA,NA,"5",3
"5",33198,"Employment Journey Survey 1",2015.16666666667,NA,"Yes",42,NA,48,"3",NA
"6",38582,"Employment Journey Survey 1",2017.08333333333,"2016-10-24","No",49,NA,41,"5",6
"7",39241,"Employment Journey Survey 1",2015.91666666667,NA,"No",39,39,NA,NA,NA
"8",39241,"Employment Journey Survey 5",2017.25,"2015-09-08","Yes",39,39,NA,NA,NA
"9",48535,"Employment Journey Survey 1",2015.58333333333,NA,"No",50,NA,NA,"3",NA
"10",48535,"Employment Journey Survey 3",2016.25,NA,"Yes",50,NA,NA,"3",NA
"11",48535,"Employment Journey Survey 4",2016.5,NA,"Yes",50,NA,NA,"3",NA
"12",58611,"Employment Journey Survey 3",2016.25,NA,"Yes",58,68,NA,"4",5
"13",58611,"Employment Journey Survey 3",2016.25,NA,"Yes",58,68,NA,"4",5
"14",60459,"Employment Journey Survey 1",2015.83333333333,NA,"No",41,NA,46,"6",4
"15",61540,"Employment Journey Survey 2",2015.83333333333,NA,"No",58,NA,58,"6",NA
"16",62347,"Employment Journey Survey 1",2015.75,NA,"No",52,NA,59,"9",7
"17",62490,"Employment Journey Survey 1",2015.16666666667,NA,"Yes",49,NA,NA,"3",NA
"18",62490,"Employment Journey Survey 2",2015.5,NA,"No",49,NA,NA,"3",NA
"19",62490,"Employment Journey Survey 3",2015.83333333333,NA,"No",49,NA,NA,"3",NA
"20",62490,"Employment Journey Survey 6",2016.83333333333,"2015-03-24","No",49,NA,NA,"3",NA
"21",66346,"Employment Journey Survey 1",2015.66666666667,NA,"No",42,NA,31,"5",NA
"22",67488,"Employment Journey Survey 1",2015.91666666667,NA,"No",54,NA,29,"2",NA
"23",69928,"Employment Journey Survey 1",2016.58333333333,NA,"No",63,NA,66,NA,NA
"24",69928,"Employment Journey Survey 3",2017.25,"2016-05-04","Yes",63,NA,66,NA,NA
"25",72715,"Employment Journey Survey 1",2017.16666666667,"2016-11-28","No",51,NA,54,"5",4
"26",72715,"Employment Journey Survey 1",2017.16666666667,"2016-11-28","No",51,NA,54,"5",4
"27",72715,"Employment Journey Survey 1",2017.16666666667,"2016-11-28","No",51,NA,54,"5",4
"28",72715,"Employment Journey Survey 1",2017.16666666667,"2016-11-28","No",51,NA,54,"5",4
"29",74479,"Employment Journey Survey 1",2017.08333333333,"2016-10-20","Yes",31,NA,34,"2",NA
"30",75024,"Employment Journey Survey 2",2016.25,NA,"Yes",66,40,NA,"7",8
"31",75024,"Employment Journey Survey 3",2016.58333333333,NA,"No",66,40,NA,"7",8
"32",75200,"Employment Journey Survey 1",2015.83333333333,NA,"No",53,NA,52,NA,NA
"33",75200,"Employment Journey Survey 2",2016.16666666667,NA,"No",53,NA,52,NA,NA
"34",75200,"Employment Journey Survey 4",2016.83333333333,"2015-08-21","No",53,NA,52,NA,NA
"35",75200,"Employment Journey Survey 5",2017.16666666667,"2015-08-21","No",53,NA,52,NA,NA
"36",77090,"Employment Journey Survey 1",2015.91666666667,NA,"No",48,NA,60,"6",4
"37",77090,"Employment Journey Survey 2",2016.16666666667,NA,"No",48,NA,60,"6",4
"38",81396,"Employment Journey Survey 1",2015.83333333333,NA,"Yes",49,59,NA,"8",5
"39",81449,"Employment Journey Survey 3",2017.41666666667,"2016-06-08","Yes",43,NA,34,"4",NA
"40",81449,"Employment Journey Survey 3",2017.41666666667,"2016-06-08","Yes",43,NA,34,"4",NA
"41",81449,"Employment Journey Survey 3",2017.41666666667,"2016-06-08","Yes",43,NA,34,"4",NA
"42",81449,"Employment Journey Survey 3",2017.41666666667,"2016-06-08","Yes",43,NA,34,"4",NA
"43",83043,"Employment Journey Survey 1",2017.08333333333,"2016-10-11","No",46,NA,30,"4",5
"44",83043,"Employment Journey Survey 2",2017.41666666667,"2016-10-11","No",46,NA,30,"4",5
"45",84547,"Employment Journey Survey 1",2015.16666666667,NA,"Yes",49,NA,NA,"6",NA
"46",84547,"Employment Journey Survey 2",2015.5,NA,"Yes",49,NA,NA,"6",NA
"47",84547,"Employment Journey Survey 4",2016.16666666667,NA,"No",49,NA,NA,"6",NA
"48",89019,"Employment Journey Survey 1",2015.75,NA,"No",48,NA,NA,"6",4
"49",89019,"Employment Journey Survey 6",2017.41666666667,"2016-02-02","Yes",48,NA,NA,"6",4
"50",91533,"Employment Journey Survey 1",2017.41666666667,"2017-02-09","No",49,NA,51,"6",NA
"51",93195,"Employment Journey Survey 2",2016.25,NA,"No",38,NA,NA,"3",NA
"52",93624,"Employment Journey Survey 1",2015.75,NA,"No",50,NA,NA,"7",6
"53",93624,"Employment Journey Survey 2",2016.08333333333,NA,"No",50,NA,NA,"7",6
"54",93624,"Employment Journey Survey 3",2016.41666666667,NA,"No",50,NA,NA,"7",6
"55",93624,"Employment Journey Survey 4",2016.75,"2015-08-21","No",50,NA,NA,"7",6
"56",93624,"Employment Journey Survey 5",2017.08333333333,"2015-08-21","No",50,NA,NA,"7",6
"57",93624,"Employment Journey Survey 6",2017.41666666667,"2015-08-21","No",50,NA,NA,"7",6
"58",95080,"Employment Journey Survey 1",2017.08333333333,"2016-11-09","No",50,NA,51,"6",5
"59",97178,"Employment Journey Survey 1",2015.91666666667,NA,"No",43,NA,31,"3",NA
"60",97178,"Employment Journey Survey 2",2016.25,NA,"No",43,NA,31,"3",NA
"61",98886,"Employment Journey Survey 1",2015.91666666667,NA,"No",40,40,NA,"5",NA
"62",98886,"Employment Journey Survey 3",2016.58333333333,NA,"Yes",40,40,NA,"5",NA
"63",99028,"Employment Journey Survey 1",2017.41666666667,"2017-02-09","No",49,NA,NA,"7",NA
"64",99244,"Employment Journey Survey 3",2017.08333333333,"2016-02-22","No",54,NA,30,NA,NA
"65",99379,"Employment Journey Survey 1",2015.16666666667,NA,"No",60,NA,NA,"5",5
"66",101106,"Employment Journey Survey 1",2015.75,NA,"No",61,36,NA,"6",NA
"67",101106,"Employment Journey Survey 2",2016.16666666667,NA,"No",61,36,NA,"6",NA
"68",101194,"Employment Journey Survey 5",2017.41666666667,"2016-01-14","No",52,NA,42,"6",5
"69",101874,"Employment Journey Survey 1",2015.41666666667,NA,"Yes",54,NA,43,"3",5
"70",101874,"Employment Journey Survey 2",2015.75,NA,"Yes",54,NA,43,"3",5
"71",102322,"Employment Journey Survey 1",2017.33333333333,"2013-10-07","No",54,41,NA,"4",NA
"72",104557,"Employment Journey Survey 1",2015.75,NA,"No",49,58,NA,"6",5
"73",104665,"Employment Journey Survey 1",2015.66666666667,NA,"No",40,NA,48,"7",5
"74",105120,"Employment Journey Survey 2",2017.41666666667,"2016-10-12","No",48,NA,40,"7",NA
"75",106858,"Employment Journey Survey 1",2015.91666666667,NA,"No",60,60,NA,"7",8
"76",106858,"Employment Journey Survey 2",2016.25,NA,"No",60,60,NA,"7",8
"77",106933,"Employment Journey Survey 1",2015.5,NA,"No",50,NA,50,"3",4
"78",106933,"Employment Journey Survey 2",2015.83333333333,NA,"No",50,NA,50,"3",4
"79",109176,"Employment Journey Survey 1",2016.58333333333,NA,"No",51,39,NA,"5",NA
"80",109176,"Employment Journey Survey 3",2017.25,"2016-04-21","No",51,39,NA,"5",NA
"81",109675,"Employment Journey Survey 2",2017.33333333333,"2016-10-12","Yes",48,40,NA,"5",5
"82",111656,"Employment Journey Survey 1",2015.75,NA,"No",56,56,NA,"5",5
"83",111656,"Employment Journey Survey 1",2015.75,NA,"No",56,56,NA,"5",5
"84",111656,"Employment Journey Survey 2",2016,NA,"No",56,56,NA,"5",5
"85",111656,"Employment Journey Survey 2",2016,NA,"No",56,56,NA,"5",5
"86",111656,"Employment Journey Survey 4",2016.66666666667,"2015-06-01","No",56,56,NA,"5",5
"87",111656,"Employment Journey Survey 4",2016.66666666667,"2015-06-01","No",56,56,NA,"5",5
"88",111656,"Employment Journey Survey 6",2017.33333333333,"2015-06-01","No",56,56,NA,"5",5
"89",111656,"Employment Journey Survey 6",2017.33333333333,"2015-06-01","No",56,56,NA,"5",5
"90",112470,"Employment Journey Survey 3",2016.83333333333,"2015-11-25","No",55,NA,NA,"4",NA
"91",113077,"Employment Journey Survey 3",2015.83333333333,NA,"No",53,NA,45,"5",5
"92",113271,"Employment Journey Survey 3",2015.75,NA,"Yes",44,NA,NA,"6",NA
